"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa01524","Human Diseases","Drug resistance: antineoplastic","hsa01524","Platinum drug resistance","8/801","75/8541",0.40640171547607,0.742884856246579,0.565788466367364,"110117499/7155/4258/836/2940/4257/596/5594",8
"hsa05332","Human Diseases","Immune disease","hsa05332","Graft-versus-host disease","5/801","45/8541",0.416181505637858,0.754934550078029,0.574965632567168,"942/3122/3119/3112/3111",5
"hsa00730","Metabolism","Metabolism of cofactors and vitamins","hsa00730","Thiamine metabolism","2/801","15/8541",0.41743439827844,0.754934550078029,0.574965632567168,"205/27010",2
"hsa05135","Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection","14/801","138/8541",0.420027926246915,0.755605793248418,0.575476858015823,"110117499/114548/2932/5602/4790/64283/7410/1793/8874/4210/71/4772/4773/5594",14
"hsa04340","Environmental Information Processing","Signal transduction","hsa04340","Hedgehog signaling pathway","6/801","56/8541",0.430315081727914,0.763135576638496,0.581211615644179,"5567/2932/2121/1456/2737/596",6
"hsa05210","Human Diseases","Cancer: specific types","hsa05210","Colorectal cancer","9/801","87/8541",0.430708068361914,0.763135576638496,0.581211615644179,"110117499/7048/2932/5602/836/1956/6934/596/5594",9
"hsa05162","Human Diseases","Infectious disease: viral","hsa05162","Measles","14/801","139/8541",0.430947149160562,0.763135576638496,0.581211615644179,"7161/110117499/2932/5602/4790/7097/836/896/1021/7187/6774/596/4600/3560",14
"hsa04080","Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","36/801","370/8541",0.433308530701017,0.763341453048423,0.581368413157623,"1131/3973/6869/130574/5746/2917/7068/7433/3355/185/3827/2895/3360/2890/3062/2911/2918/148/432355/9568/116443/2915/2900/2904/3375/5027/2562/2558/2567/1143/2903/5023/9340/2906/2359/146",36
"hsa00040","Metabolism","Carbohydrate metabolism","hsa00040","Pentose and glucuronate interconversions","4/801","36/8541",0.44056452193274,0.772123388954287,0.588056822547227,"9942/7363/729920/27294",4
"hsa04610","Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","9/801","88/8541",0.444492427178933,0.775012437132499,0.590257150261903,"1378/1379/3827/2160/730/2162/710/7450/5265",9
"hsa04666","Organismal Systems","Immune system","hsa04666","Fc gamma R-mediated phagocytosis","10/801","99/8541",0.451954992111135,0.78002384425272,0.594073887573279,"110117499/273/7410/1793/255189/5336/5338/5578/7408/5594",10
"hsa05231","Human Diseases","Cancer: overview","hsa05231","Choline metabolism in cancer","10/801","99/8541",0.451954992111135,0.78002384425272,0.594073887573279,"110117499/5130/5602/1607/1956/80310/255189/5338/5578/5594",10
"hsa05221","Human Diseases","Cancer: specific types","hsa05221","Acute myeloid leukemia","7/801","68/8541",0.457148086862263,0.781551997674706,0.595237744359064,"110117499/4790/6934/7704/6774/861/5594",7
"hsa01250","Metabolism","Global and overview maps","hsa01250","Biosynthesis of nucleotide sugars","4/801","37/8541",0.462035151566517,0.781551997674706,0.595237744359064,"5236/2762/2645/80201",4
"hsa05143","Human Diseases","Infectious disease: parasitic","hsa05143","African trypanosomiasis","4/801","37/8541",0.462035151566517,0.781551997674706,0.595237744359064,"3827/5578/23236/5332",4
"hsa05216","Human Diseases","Cancer: specific types","hsa05216","Thyroid cancer","4/801","37/8541",0.462035151566517,0.781551997674706,0.595237744359064,"6258/5468/6934/5594",4
"hsa00650","Metabolism","Carbohydrate metabolism","hsa00650","Butanoate metabolism","3/801","27/8541",0.471242821570584,0.789273691300485,0.601118662724208,"2571/142827/35",3
"hsa01040","Metabolism","Lipid metabolism","hsa01040","Biosynthesis of unsaturated fatty acids","3/801","27/8541",0.471242821570584,0.789273691300485,0.601118662724208,"201562/79966/3295",3
"hsa04068","Environmental Information Processing","Signal transduction","hsa04068","FoxO signaling pathway","13/801","133/8541",0.48095150073135,0.796961652905608,0.606973890448234,"110117499/7048/8743/5602/9456/2911/1956/51422/1387/6774/92579/3643/5594",13
"hsa00910","Metabolism","Energy metabolism","hsa00910","Nitrogen metabolism","2/801","17/8541",0.482865001466339,0.796961652905608,0.606973890448234,"2746/763",2
"hsa03273",NA,NA,"hsa03273","Virion - Lassa virus and SFTS virus","2/801","17/8541",0.482865001466339,0.796961652905608,0.606973890448234,"8828/5101",2
"hsa00983","Metabolism","Xenobiotics biodegradation and metabolism","hsa00983","Drug metabolism - other enzymes","8/801","81/8541",0.49406619366759,0.806847819098947,0.614503292564523,"978/1806/7363/4258/2940/9/4257/54963",8
"hsa00601","Metabolism","Glycan biosynthesis and metabolism","hsa00601","Glycosphingolipid biosynthesis - lacto and neolacto series","3/801","28/8541",0.495974100563764,0.806847819098947,0.614503292564523,"10678/8708/6484",3
"hsa00790","Metabolism","Metabolism of cofactors and vitamins","hsa00790","Folate biosynthesis","3/801","28/8541",0.495974100563764,0.806847819098947,0.614503292564523,"5860/84105/8644",3
"hsa00670","Metabolism","Metabolism of cofactors and vitamins","hsa00670","One carbon pool by folate","4/801","39/8541",0.504045868616794,0.816074263474809,0.621530244008678,"441024/29958/25902/2618",4
"hsa04672","Organismal Systems","Immune system","hsa04672","Intestinal immune network for IgA production","5/801","50/8541",0.510014657456831,0.816370641292702,0.621755968291037,"942/3122/3119/3112/3111",5
"hsa05144","Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","5/801","50/8541",0.510014657456831,0.816370641292702,0.621755968291037,"1378/1379/7097/948/6383",5
"hsa04810","Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","22/801","232/8541",0.511742279894378,0.816370641292702,0.621755968291037,"110117499/1131/50649/3680/3827/730/3672/10788/1956/7410/2263/1793/80310/3071/54434/221178/8874/23191/22801/71/7074/5594",22
"hsa00061","Metabolism","Lipid metabolism","hsa00061","Fatty acid biosynthesis","2/801","18/8541",0.513833285990113,0.816370641292702,0.621755968291037,"2181/32",2
"hsa04744","Organismal Systems","Sensory system","hsa04744","Phototransduction","3/801","29/8541",0.520111170963365,0.82250138663974,0.626425204685375,"5145/2792/1258",3
